Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword
6s iphone,1,1,301000,55,0.09,https://www.gsmarena.com/apple_iphone_6s-7242.php,141470,0.35,12732,1,293000000,"[45,67,82,100,100,82,82,67,67,67,55,55]",5/26/2021,"Top stories, Image pack, Site links, Reviews, Shopping ads, Video Carousel, People also ask"
redmi 7,1,2,301000,46,6.01,https://www.gsmarena.com/xiaomi_redmi_7-9498.php,141470,0.35,850234,1,77,"[45,67,100,100,100,100,82,67,55,55,45,45]",5/27/2021,"Image pack, Reviews, Shopping ads, Video Carousel, People also ask, FAQ"
infinix hot 9,1,1,301000,45,0.07,https://www.gsmarena.com/infinix_hot_9-10156.php,141470,0.35,9902,1,82,"[6,45,82,100,82,67,67,45,30,25,16,13]",5/27/2021,"Image pack, Reviews, Shopping ads, Video Carousel, People also ask"
samsung a50,1,1,301000,54,0.16,https://www.gsmarena.com/samsung_galaxy_a50-9554.php,141470,0.35,22635,1,99,"[2,16,30,100,13,67,2,1,2,2,2,1]",5/27/2021,"Image pack, Reviews, Shopping ads, Video Carousel, People also ask"
iphone 8,1,1,301000,60,0.07,https://www.gsmarena.com/apple_iphone_8-8573.php,141470,0.35,9902,1,90,"[82,82,100,100,100,100,100,100,100,100,82,82]",5/27/2021,"Image pack, Site links, Reviews, Shopping ads, Video Carousel, People also ask"
iphone 11,3,2,1500000,67,0.12,https://www.gsmarena.com/apple_iphone_11-9848.php,135000,0.33,16200,1,98,"[30,45,45,55,55,55,100,67,55,55,45,55]",5/26/2021,"Top stories, Image pack, Reviews, Shopping ads, Video Carousel, People also ask"
oppo a9 2020,1,1,246000,49,0.11,https://www.gsmarena.com/oppo_a9_(2020)-9819.php,115620,0.28,12718,1,88,"[37,55,67,82,100,55,45,37,25,25,16,16]",5/27/2021,"Image pack, Reviews, Shopping ads, Video Carousel, People also ask"
realme 8 pro,1,1,246000,46,0.11,https://www.gsmarena.com/realme_8_pro-10809.php,115620,0.28,12718,0.88,81,"[3,6,7,6,6,6,6,5,11,13,6,100]",5/27/2021,"Top stories, Image pack, Reviews, Shopping ads, Video Carousel, People also ask"
11,1,1,246000,63,0.04,https://www.gsmarena.com/apple_iphone_11-9848.php,115620,0.28,4624,0.05,25270000000,"[67,67,82,100,100,100,100,100,100,100,82,100]",5/26/2021,"Image pack, Reviews, Video, Video Carousel, People also ask"
samsung j7,1,1,246000,50,0.22,https://www.gsmarena.com/samsung_galaxy_j7-7185.php,115620,0.28,25436,1,69,"[45,67,100,100,100,100,82,67,55,55,45,45]",5/26/2021,"Image pack, Site links, Reviews, Shopping ads, Video Carousel, People also ask, FAQ"
samsung a71,1,1,246000,48,0.05,https://www.gsmarena.com/samsung_galaxy_a71-9995.php,115620,0.28,5781,1,65800000,"[30,67,100,82,100,82,82,67,55,67,45,45]",5/27/2021,"Image pack, Reviews, Shopping ads, Video Carousel, People also ask"
vivo y51,1,1,246000,39,0.01,"https://www.gsmarena.com/vivo_y51_(2020,_december)-10621.php",115620,0.28,1156,1,94,"[2,3,4,5,5,6,4,4,100,82,45,45]",5/27/2021,"Image pack, Reviews, Shopping ads, Video Carousel, People also ask"
