#,Traffic (desc),Traffic (Percent %),# of Keywords,Referring Domains,URL,Top Keyword,Its Volume,Position,Page URL inside,Traffic value
74,11584,0.22,1019,274,https://www.gsmarena.com/lg_v20-8238.php,lg v20,33000,1,,13198
75,11529,0.22,14,91,https://www.gsmarena.com/zte_nubia_red_magic_3-9692.php,nubia red magic 3,16000,1,,125
76,11321,0.22,17,221,https://www.gsmarena.com/samsung_galaxy_a20s-9852.php,samsung galaxy a20s,12000,1,,0
77,11231,0.22,194,233,https://www.gsmarena.com/samsung_galaxy_s10_5g-9588.php,samsung galaxy s10 5g,8100,1,,319
78,11146,0.22,169,441,https://www.gsmarena.com/samsung_galaxy_s21_ultra_5g-10596.php,samsung galaxy s21 ultra,90000,8,,57
79,10767,0.21,821,199,https://www.gsmarena.com/samsung_galaxy_j3_(2016)-7760.php,samsung galaxy j3,24000,1,,11685
80,10632,0.21,696,199,https://www.gsmarena.com/motorola_moto_g5_plus-8453.php,moto g5 plus specs,3100,1,,6970
81,10601,0.21,6,134,https://www.gsmarena.com/motorola_moto_g8_power-10052.php,moto g8 power,54000,1,,0
82,10192,0.2,45,137,https://www.gsmarena.com/lg_g8x_thinq-9844.php,lg g8x,26000,1,,25
83,10046,0.19,24,139,https://www.gsmarena.com/samsung_galaxy_a51_5g-10157.php,samsung galaxy a51 5g,7100,1,,8
84,9791,0.19,71,411,https://www.gsmarena.com/apple_iphone_12_pro-10508.php,iphone 12 pro,302000,10,,9
85,9556,0.19,1126,596,https://www.gsmarena.com/samsung_galaxy_note_4-6434.php,samsung galaxy note 4,6000,1,,13145
86,9284,0.18,1545,491,https://www.gsmarena.com/apple_iphone_6s_plus-7243.php,iphone 6s plus,43000,3,,22851
87,9262,0.18,2568,619,https://www.gsmarena.com/apple_iphone_6s-7242.php,iphone 6s,139000,4,,20554
88,9190,0.18,493,59,https://www.gsmarena.com/lg_q_stylo_4-9251.php,lg stylo 4,59000,3,,4741
89,9134,0.18,34,306,https://www.gsmarena.com/samsung_galaxy_s21_5g-10626.php,galaxy s21,85000,10,,0
90,8904,0.17,16,227,https://www.gsmarena.com/samsung_galaxy_s20_fe-10428.php,s20 fe,29000,3,,0
91,8531,0.17,902,268,https://www.gsmarena.com/makers.php3,gsmarena,112000,1,Sitelinks,32417
92,8292,0.16,711,242,https://www.gsmarena.com/motorola_moto_x-5601.php,moto x,5900,1,,5796
93,8251,0.16,17,419,https://www.gsmarena.com/xiaomi_redmi_note_8_pro-9812.php,redmi note 8 pro,18000,1,,147
94,8221,0.16,62,127,https://www.gsmarena.com/samsung_galaxy_a71_5g-10146.php,galaxy a71 5g,18000,4,,0
95,8087,0.16,499,262,https://www.gsmarena.com/htc_10-7884.php,htc 10,8700,1,,5744
96,7913,0.15,148,78,https://www.gsmarena.com/motorola_moto_z3-9283.php,moto z3,21000,1,,4486
97,7887,0.15,691,156,https://www.gsmarena.com/motorola_moto_g4-8103.php,moto g4,9200,1,,7291
98,7852,0.15,867,369,https://www.gsmarena.com/lg_g5-7815.php,lg g5,23000,1,,10865
99,7826,0.15,62,386,https://www.gsmarena.com/huawei_p30_pro-9635.php,huawei p30 pro,39000,3,,521
100,7821,0.15,1556,402,https://www.gsmarena.com/samsung_galaxy_note5-7431.php,note 5,9600,3,,14305
101,7772,0.15,132,151,https://www.gsmarena.com/htc_u11-8630.php,htc u11,10000,1,,4729
102,7656,0.15,197,197,https://www.gsmarena.com/samsung_galaxy_s20_5g-10044.php,samsung galaxy s20,117000,6,,63
103,7515,0.15,177,358,https://www.gsmarena.com/xiaomi_redmi_note_7-9513.php,redmi note 7,11000,1,,2418
104,7366,0.14,47,197,https://www.gsmarena.com/samsung_galaxy_s20_ultra-10084.php,samsung s20 ultra,50000,6,,24
105,7353,0.14,51,195,https://www.gsmarena.com/samsung_galaxy_s20+_5g-10041.php,s20+,6400,1,,0
